,link,title,type,content
0,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/735249/%D8%AA%D8%A3%D8%AC%D9%8A%D9%84-%D8%A8%D8%B7%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D9%84%D9%84%D8%B3%D8%A8%D8%A7%D8%AD%D8%A9-%D8%A5%D9%84%D9%89-%D8%B3%D9%86%D8%A9-2022,تأجيل بطولة العالم للسباحة إلى سنة 2022,رياضة,أعلن الإتحاد الدولي للسباحة في بيان يوم الاثنين إنه قرر تأجيل بطولة العالم 2021 المقررة في مدينة فوكوكا اليابانية لمدة عام لتقام خلال الفترة ما بين 13 و29 مارس 2022. ويأتي القرار في أعقاب تأجيل أولمبياد طوكيو الصيفي 2020 إلى العام المقبل بسبب أزمة فيروس كورونا. (رويترز) 
1,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/735073/%D9%85%D8%A8%D8%A7%D8%A8%D9%8A-%D9%8A%D8%AD%D8%B3%D9%85-%D8%A7%D9%84%D8%AC%D8%AF%D9%84-%D8%AD%D9%88%D9%84-%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84%D9%87-%D9%85%D8%B9-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3-%D8%B3%D8%A7%D9%86-%D8%AC%D9%8A%D8%B1%D9%85%D8%A7%D9%86,مبابي يحسم الجدل حول مستقبله مع باريس سان جيرمان,رياضة,أكدت صحيفة ليكيب الفرنسية، اليوم الأثنين، أن اللاعب الدولي الفرنسي كيليان ​مبابي​​ قرر تجديد عقده مع ​باريس سان جيرمان لفترة طويلة وتجاهل إهتمام ​ريال مدريد​ الإسباني بضمه. ولفتت الصحيفة إلى أن مبابي يميل للبقاء في فرنسا وعدم الرحيل إلى أي بلد أخرى رغم العروض المغرية التي تلقاها في الفترة الأخيرة. وأوضحت الصحيفة أن اللاعب سيحصل بموجب عقده الجديد على راتب أسبوعي يصل إلى 600 ألف جنيه استرليني وهو ضعف راتبه الحالي ونفس ما يتقاضاه زميله البرازيلي نيمار.   
2,https://www.mosaiquefm.net/ar/%D8%A7%D9%84%D9%83%D8%B1%D8%A9-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9/734929/%D8%AA%D8%A3%D8%AC%D9%8A%D9%84-%D8%A7%D9%84%D8%A8%D8%B7%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%84%D9%84%D9%83%D8%B1%D8%A9-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A9,تأجيل البطولة العربية للكرة الطائرة,الكرة الطائرة,قرر الاتحاد العربي للكرة الطائرة تأجيل البطولة العربية الثانية والعشرين للرجال للكرة الطائرة داخل الصالات والتي كان مقرر إقامتها في تونس خلال شهر سبتمبر 2020،  لتقام في شهر نوفمبر أو ديسمبر 2020. 
3,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/734793/%D8%A7%D9%84%D9%82%D8%A8%D8%B6-%D8%B9%D9%84%D9%89-%D9%82%D8%A7%D8%AA%D9%84-%D8%A7%D9%84%D8%AD%D9%83%D9%85-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D8%AD%D8%B3%D8%A7%D9%85-%D8%B9%D9%8A%D8%A7%D8%AF%D9%8A,القبض على قاتل الحكم الجزائري حسام عيادي ,رياضة,"ذكرت صحيفة الخبر الجزائرية انه تم اليوم الأحد القبض على قاتل الحكم الجزائري الشاب حسام عيادي.  ونقلاً عن المصدر ذاته، يتعلق الأمر بأحد معارفه وجيرانه الذي يشتغل سائق حافلة للنقل الجامعي ومعروف في أوساط الاحتيال والابتزاز حيث نصب له كمينا رفقة شخص ثالث ليقوم بقتله والاستيلاء على الأموال التي كانت بحوزته. وخلال عملية استنطاقه ادعى أن الضحية ""انتحر"" وقاد رجال الشرطة والدرك إلى مكان الجريمة ليتم انتشالها في ظروف صعبة جدا ليتم توقيفه وتقديمه للجهات المختصة للفصل في قضيته، حسب ما افادت به نفس الصحيفة. وكانت هذه القضية هزت الشارع الرياضي الجزائري بعد العثور على جثة الحكم الشاب ملقاة من قمة جبل بين الاشجار الوارفة.  "
4,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/734741/%D9%81%D8%AE%D8%B1-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D8%A8%D9%86-%D9%8A%D9%88%D8%B3%D9%81-%D9%8A%D8%AD%D8%AF%D8%AF-%D9%88%D8%AC%D9%87%D8%AA%D9%87-%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D9%85%D8%A9,فخر الدين بن يوسف يحدد وجهته القادمة ,رياضة,وافق فخر الدين بن يوسف، مهاجم نادي الإسماعيلي، على تجديد تعاقده مع الدراويش لمدة موسم إضافي، خاصة وأن عقده ينتهي مع انتهاء الموسم الجاري. وتواصلت إدارة النادي مع اللاعب خلال الساعات الماضية، خاصة بعد قرار اتحاد الكرة بمعاملة لاعب شمال أفريقيا كلاعبين أجانب، لبدء التفاوض معه. ويحاول مجلس إدارة النادي الإسماعيلي الحفاظ على القوام الرئيسي للفريق على أمل العودة لمنصات التتويج لإسعاد الجماهير. يذكر أن بن يوسف يتواجد حاليا بتونس، بسب انتشار فيروس كورونا المستجد   
5,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/734733/%D9%85%D9%82%D8%AA%D9%84-%D8%AD%D9%83%D9%85-%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D9%81%D9%8A-%D8%B8%D8%B1%D9%88%D9%81-%D8%BA%D8%A7%D9%85%D8%B6%D8%A9,مقتل حكم جزائري في ظروف غامضة,رياضة,كشفت تقارير صحفية جزائرية عن مقتل حكم كرة القدم حسام عيادي، البالغ 24 عاما، بعد أن تم العثور على جثته بإحدى غابات تيشي بولاية بجاية الجزائرية في ظروف غامضة. ووفقا لصحيفة النهار الجزائرية فإن الحكم الشاب الذي ينتمي لرابطة كرة القدم بولاية بجاية، اختفى عن الأنظار منذ يوم 30 أفريل الماضي، ما أثار تساؤلات عائلته ومقربيه، قبل أن يتم العثور عليه جثة هامدة بمنطقة تيقولالين (الميزاب) بأعالي غابات تيشي وبوخليفة. 
6,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%8A%D8%A9/735269/%D9%88%D8%B2%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B9%D8%AF%D9%84-%D8%AE%D8%AF%D9%85%D8%A9-%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D8%A7%D9%84%D9%82%D8%B6%D8%A7%D9%8A%D8%A7-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D9%85-%D9%81%D8%B9-%D9%84%D8%A9, وزارة العدل: خدمة متابعة القضايا عن بعد مُفعّلة,وطنية,أصدرت وزارة العدل اليوم الإثنين 04 ماي بلاغا ذَكّرت فيه بأنها تضع على ذمة كافة مكوّنات الأسرة القضائية و عموم المتقاضين خدمة متابعة القضايا عن بعد وذلك لتمكينهم من الاطّلاع على مآل أغلب القضايا دون مشقة التنقّل إلى المحكمة المعنية إلا في صورة عدم توفر المعلومة المطلوبة عن بعد، وذلك عبر الولوج إلى موقع واب الوزارة  على العنوان التالي : https://www.justice.gov.tn 
7,https://www.mosaiquefm.net/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D8%A9/735261/%D9%85%D9%84%D9%8A%D8%A7%D8%B1-%D8%A3%D9%88%D8%B1%D9%88-%D9%85%D9%86-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%88%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%AF-%D9%84%D9%82%D8%A7%D8%AD-%D8%B6%D8%AF-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7,مليار أورو من فرنسا وألمانيا لإيجاد لقاح ضد كورونا,عالمية,خصّصت ألمانيا وفرنسا الإثنين أكثر من مليار أورو للمساعدة في توفير لقاح ضد فيروس كورونا. وقال الرئيس الفرنسي إيمانويل ماكرون إن بلاده ستسهم بـ500 مليون أورو من أجل التوصل للقاح ضد فيروس كورونا. وأضاف، خلال مؤتمر للمانحين للتصدي بفيروس كورونا، أنه على العالم العمل لإنقاذ الأرواح والمشاركة في المعركة ضد فيروس كورونا. وشدد ماكرون على أنه بمجرد التوصل للقاح لا بد من إنتاجه بشكل كبير وتوزيعه على الجميع. من جانبها قالت المستشارة الألمانية أنجيلا ميركل، إن برلين ستسهم بـ525 مليون يورو لمواجهة فيروس كورونا. كما أعلن رئيس وزراء اليابان عن تخصيص بلاده لـ800 مليون دولار لدعم مبادرة إنتاج لقاح للفيروس. 
8,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%8A%D8%A9/735257/%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D8%B5%D8%AD%D8%A9-%D8%A7%D9%84%D9%88%D9%82%D8%A7%D8%A6%D9%8A%D8%A9-%D9%8A%D8%A4%D9%83%D8%AF-%D8%AA%D8%B3%D9%85%D9%85-%D8%AE%D8%A7%D8%B6%D8%B9%D9%8A%D9%86-%D9%84%D9%84%D8%AD%D8%AC%D8%B1-%D8%A7%D9%84%D8%B5%D8%AD%D9%8A,مدير الصحة الوقائية يؤكد تسمم خاضعين للحجر الصحي,وطنية,"أكد مدير الصحة الوقائية، محمد الغضباني، اليوم الإثنين 04 ماي 2020، في تصريح لموزاييك، تسجيل تسمم غذائي لدى 25 من المقيمين بالحجر الصحي الإجباري بإحدى نزل القنطاوي، مؤكداً أن حالتهم مستقرة حالياً. كما أوضح أن أعوان الصحة قاموا بأخذ عينات من المصابين من أجل إجراء تحاليل والكشف عن أسباب التسمم، التي رجح أن تكون ناجمة عن طريقة إعداد الطعام. كما أوضح أنه تم إتخاذ جميع الإجراءات الضرورية من أجل الإحاطة بهم، خاصة وأن حالتهم النفسية مهتزة نسبياً، ذلك أنهم يقيمون في الحجر الإجباري. 






volume





0:00






0:00


JavaScript is required.


Play / pause








محمد الغضباني
محمد الغضباني 







 "
9,https://www.mosaiquefm.net/ar/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D9%87%D9%8A%D8%B1/735253/%D8%A7%D9%84%D9%81%D9%86%D8%A7%D9%86-%D9%87%D8%B4%D8%A7%D9%85-%D8%B3%D9%84%D9%8A%D9%85-%D9%8A%D9%83%D8%B4%D9%81-%D8%A7%D8%A8%D9%86%D8%AA%D9%8A-%D8%AA%D8%AD%D9%88-%D9%84%D8%AA-%D8%A5%D9%84%D9%89-%D8%B0%D9%83%D8%B1,الفنان هشام سليم يكشف: ابنتي تحوّلت إلى ذكر (فيديو),أخبار المشاهير,"كشف الفنان المصري هشام سليم أن ابنته خضعت إلى عملية تحوّل جنسي، ليصبح اسمها ""نور"" بدلا من ""نورا"". وقال هشام سليم، في لقائه مع برنامج ""شيخ الحارة والجريئة""، المُذاع عبر قناة ""القاهرة والناس""، إنه لم يستغرب رغبة إبنته في التحول جنسيًا، ""لأنها من وقت ما ولدت وأنا كنت شايف إن جسمها ولد، وكنت دائمًا أشك في الحكاية دي"". وأشار سليم إلى أن ابنته نورا التي يبلغ عمرها 26 عامًا، أصبحت ""إبنى نور وربنا اللي عايز كده وهي بتتحول جنسيًا حاليًا، وأنا مستغربتش أبدا أنها تتحوّل جنسيًا"". وأوضح نجل أسطورة كرة القدم المصرية، صالح سليم، أن ابنته قالت له ذات يوم حينما كان عمرها 18 عامًا: ""أنا عايشة في جسم غير جسمي"". ورأى هشام سليم في قرار ابنته القيام بتحويل جنسها إلى ذكر أنه يعد ""شجاعة وجرءة منها""، لا سيما أننا نعيش في مجتمع يرفض ذلك، حسب قوله. وقال الفنان المصري إن أسرته تعامل ابنته باعتبارها ذكرًا في الوقت الحالي، ''ويدعمونه لمواصلة حياته كشاب''، بينما لفت أن المشكلة التي يمكن أن تواجه ابنه حاليًا هي تغيير هويته في بطاقة الرقم القومي. وأعرب سليم عن تضامنه مع يعانون من أزمة الهوية الجنسية كما ابنته، موضحًا: ""أقول الله يكون في عون الابن اللي كده أو البنت، ويكون في عون أهلها، وأنا كأب مهما حاولت لن أقدر أفكر زي ما ابني بيفكر حاليًا"".  يشار إلى أن القانون المصري لا يتضمن مواد تتطرق إلى أمور التحول الجنسي. وعادة ما يواجه هؤلاء الأشخاص أزمة في تغيير هويتهم، في وقت يعانون حال محاولتهم التكيف مع المجتمع ونظرته لهم.      (سي ان ان)   "
10,https://www.mosaiquefm.net/ar/%D8%AA%D9%88%D9%86%D8%B3-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1/735249/%D8%AA%D8%A3%D8%AC%D9%8A%D9%84-%D8%A8%D8%B7%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85-%D9%84%D9%84%D8%B3%D8%A8%D8%A7%D8%AD%D8%A9-%D8%A5%D9%84%D9%89-%D8%B3%D9%86%D8%A9-2022,تأجيل بطولة العالم للسباحة إلى سنة 2022,رياضة,أعلن الإتحاد الدولي للسباحة في بيان يوم الاثنين إنه قرر تأجيل بطولة العالم 2021 المقررة في مدينة فوكوكا اليابانية لمدة عام لتقام خلال الفترة ما بين 13 و29 مارس 2022. ويأتي القرار في أعقاب تأجيل أولمبياد طوكيو الصيفي 2020 إلى العام المقبل بسبب أزمة فيروس كورونا. (رويترز) 
11,https://www.mosaiquefm.net/ar/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D9%87%D9%8A%D8%B1/735237/%D9%87%D9%86%D8%AF-%D8%B5%D8%A8%D8%B1%D9%8A-%D9%85%D9%86%D8%AA%D8%AC%D8%A9-%D9%88%D8%A8%D8%B7%D9%84%D8%A9-%D9%84%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%B9%D9%84%D9%89-%D9%86%D8%AA%D9%81%D9%84%D9%8A%D9%83%D8%B3,هند صبري منتجة وبطلة لمسلسل على ''نتفليكس''!,أخبار المشاهير,أعلنت الفنانة التونسية هند صبري، عن انضمامها لعائلة نتفليكس بعمل درامي كوميدي جديد ستكون بطلته والمنتج المنفذ له أيضا.  وكتبت هند صبري على صفحتها الرسمية ''أشعر بالحماسة والسعادة وأنا اشارككم خبر إنضمامي لعائلة نيتفليكس. في عمل فني جديد يحمل رؤية جديدة متمركزة حول المرأة العربية. وخصوصا انني وللمرة الأولى سأكون منتج منفذ لمسلسل عربي يعرض على نطاق عالمي''. 
